[2022-04-28 02:04:04][HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h26s492ms269µs).
[2022-04-28 09:06:30][http-nio-8088-exec-7] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T09:06:30.178+0800, cost 0.006 s
[2022-04-28 09:09:32][http-nio-8088-exec-3] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/all/summary]
[2022-04-28 09:09:32][http-nio-8088-exec-3] INFO  com.wjl.lblog.annotation.TimeLogger - [getAllSummary()] --- start --- 2022-04-28T09:09:32.073+0800
[2022-04-28 09:09:32][http-nio-8088-exec-3] INFO  com.wjl.lblog.annotation.TimeLogger - [getAllSummary()] --- finish --- 2022-04-28T09:09:32.078+0800, cost 0.005 s
[2022-04-28 09:09:36][http-nio-8088-exec-10] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/category/all]
[2022-04-28 09:09:36][http-nio-8088-exec-10] INFO  com.wjl.lblog.annotation.TimeLogger - [getAll()] --- start --- 2022-04-28T09:09:36.378+0800
[2022-04-28 09:09:36][http-nio-8088-exec-10] WARN  com.baomidou.mybatisplus.core.toolkit.support.ReflectLambdaMeta - Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @7a8c8dcf
[2022-04-28 09:09:36][http-nio-8088-exec-10] INFO  com.wjl.lblog.annotation.TimeLogger - [getAll()] --- finish --- 2022-04-28T09:09:36.427+0800, cost 0.049 s
[2022-04-28 09:09:39][http-nio-8088-exec-1] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/category/article/name]
[2022-04-28 09:09:39][http-nio-8088-exec-1] INFO  com.wjl.lblog.annotation.TimeLogger - [findCategoryByName()] --- start --- 2022-04-28T09:09:39.023+0800
[2022-04-28 09:09:39][http-nio-8088-exec-1] INFO  com.wjl.lblog.annotation.TimeLogger - [findCategoryByName()] --- finish --- 2022-04-28T09:09:39.042+0800, cost 0.019 s
[2022-04-28 09:11:14][http-nio-8088-exec-9] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/category/article/name]
[2022-04-28 09:11:14][http-nio-8088-exec-9] INFO  com.wjl.lblog.annotation.TimeLogger - [findCategoryByName()] --- start --- 2022-04-28T09:11:14.238+0800
[2022-04-28 09:11:14][http-nio-8088-exec-9] INFO  com.wjl.lblog.annotation.TimeLogger - [findCategoryByName()] --- finish --- 2022-04-28T09:11:14.249+0800, cost 0.011 s
[2022-04-28 09:12:15][http-nio-8088-exec-6] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 09:12:15][http-nio-8088-exec-6] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T09:12:15.468+0800
[2022-04-28 09:12:15][http-nio-8088-exec-6] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T09:12:15.474+0800, cost 0.006 s
[2022-04-28 09:14:04][http-nio-8088-exec-7] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 09:14:04][http-nio-8088-exec-7] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T09:14:04.429+0800
[2022-04-28 09:14:04][http-nio-8088-exec-7] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T09:14:04.434+0800, cost 0.005 s
[2022-04-28 09:18:32][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2022-04-28 09:18:32][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2022-04-28 09:18:38][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - Starting BlogServerApplication using Java 17.0.2 on lonestar with PID 18740 (D:\wjl\workspace\repository\lblog\blog-server\build\classes\java\main started by wjl15 in D:\wjl\workspace\repository\lblog\blog-server)
[2022-04-28 09:18:38][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - No active profile set, falling back to 1 default profile: "default"
[2022-04-28 09:18:41][restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
[2022-04-28 09:18:41][restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[2022-04-28 09:18:41][restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
[2022-04-28 09:18:41][restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-04-28 09:18:43][restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
[2022-04-28 09:19:24][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - Starting BlogServerApplication using Java 17.0.2 on lonestar with PID 22192 (D:\wjl\workspace\repository\lblog\blog-server\build\classes\java\main started by wjl15 in D:\wjl\workspace\repository\lblog\blog-server)
[2022-04-28 09:19:24][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - No active profile set, falling back to 1 default profile: "default"
[2022-04-28 09:19:26][restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
[2022-04-28 09:19:26][restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[2022-04-28 09:19:26][restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
[2022-04-28 09:19:26][restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-04-28 09:19:27][restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
[2022-04-28 09:19:39][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - Starting BlogServerApplication using Java 17.0.2 on lonestar with PID 20784 (D:\wjl\workspace\repository\lblog\blog-server\build\classes\java\main started by wjl15 in D:\wjl\workspace\repository\lblog\blog-server)
[2022-04-28 09:19:39][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - No active profile set, falling back to 1 default profile: "default"
[2022-04-28 09:19:40][restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
[2022-04-28 09:19:40][restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[2022-04-28 09:19:40][restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
[2022-04-28 09:19:40][restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-04-28 09:19:42][restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2022-04-28 09:19:42][restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2022-04-28 09:19:42][restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
[2022-04-28 09:19:42][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - Started BlogServerApplication in 3.581 seconds (JVM running for 4.329)
[2022-04-28 09:19:42][RMI TCP Connection(1)-172.22.0.1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2022-04-28 09:24:38][Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2022-04-28 09:24:38][Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2022-04-28 09:24:38][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - Starting BlogServerApplication using Java 17.0.2 on lonestar with PID 20784 (D:\wjl\workspace\repository\lblog\blog-server\build\classes\java\main started by wjl15 in D:\wjl\workspace\repository\lblog\blog-server)
[2022-04-28 09:24:38][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - No active profile set, falling back to 1 default profile: "default"
[2022-04-28 09:24:39][restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
[2022-04-28 09:24:39][restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[2022-04-28 09:24:39][restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
[2022-04-28 09:24:39][restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-04-28 09:24:40][restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
[2022-04-28 09:24:40][restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
[2022-04-28 09:24:40][restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
[2022-04-28 09:24:40][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - Started BlogServerApplication in 1.973 seconds (JVM running for 302.836)
[2022-04-28 09:27:26][http-nio-8088-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2022-04-28 09:27:26][http-nio-8088-exec-1] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [0:0:0:0:0:0:0:1][GET][/article/detail/title]
[2022-04-28 09:27:26][http-nio-8088-exec-1] INFO  com.wjl.lblog.annotation.TimeLogger - [getDetailByTitle()] --- start --- 2022-04-28T09:27:26.109+0800
[2022-04-28 09:27:26][http-nio-8088-exec-1] INFO  com.wjl.lblog.annotation.TimeLogger - [getDetailByTitle()] --- finish --- 2022-04-28T09:27:26.155+0800, cost 0.046 s
[2022-04-28 09:27:38][http-nio-8088-exec-7] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [0:0:0:0:0:0:0:1][GET][/article/detail/title]
[2022-04-28 09:27:38][http-nio-8088-exec-7] INFO  com.wjl.lblog.annotation.TimeLogger - [getDetailByTitle()] --- start --- 2022-04-28T09:27:38.682+0800
[2022-04-28 09:27:38][http-nio-8088-exec-7] WARN  com.baomidou.mybatisplus.core.toolkit.support.ReflectLambdaMeta - Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @7a8c8dcf
[2022-04-28 09:27:38][http-nio-8088-exec-7] INFO  com.wjl.lblog.annotation.TimeLogger - [getDetailByTitle()] --- finish --- 2022-04-28T09:27:38.736+0800, cost 0.054 s
[2022-04-28 09:29:01][http-nio-8088-exec-10] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 09:29:01][http-nio-8088-exec-10] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T09:29:01.378+0800
[2022-04-28 09:29:01][http-nio-8088-exec-10] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T09:29:01.423+0800, cost 0.045 s
[2022-04-28 09:41:39][http-nio-8088-exec-3] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 09:41:39][http-nio-8088-exec-3] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T09:41:39.253+0800
[2022-04-28 09:41:39][http-nio-8088-exec-3] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T09:41:39.261+0800, cost 0.008 s
[2022-04-28 09:43:48][http-nio-8088-exec-9] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 09:43:48][http-nio-8088-exec-9] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T09:43:48.298+0800
[2022-04-28 09:43:48][http-nio-8088-exec-9] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T09:43:48.308+0800, cost 0.01 s
[2022-04-28 10:05:23][http-nio-8088-exec-1] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [0:0:0:0:0:0:0:1][GET][/user/user]
[2022-04-28 10:05:23][http-nio-8088-exec-1] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- start --- 2022-04-28T10:05:23.351+0800
[2022-04-28 10:05:23][http-nio-8088-exec-1] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- finish --- 2022-04-28T10:05:23.363+0800, cost 0.012 s
[2022-04-28 10:09:23][http-nio-8088-exec-4] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/user/user]
[2022-04-28 10:09:23][http-nio-8088-exec-4] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- start --- 2022-04-28T10:09:23.293+0800
[2022-04-28 10:09:23][http-nio-8088-exec-4] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- finish --- 2022-04-28T10:09:23.296+0800, cost 0.003 s
[2022-04-28 10:09:25][http-nio-8088-exec-10] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/user/user]
[2022-04-28 10:09:25][http-nio-8088-exec-10] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- start --- 2022-04-28T10:09:25.370+0800
[2022-04-28 10:09:25][http-nio-8088-exec-10] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- finish --- 2022-04-28T10:09:25.375+0800, cost 0.005 s
[2022-04-28 10:09:30][http-nio-8088-exec-6] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/user/user]
[2022-04-28 10:09:30][http-nio-8088-exec-6] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- start --- 2022-04-28T10:09:30.370+0800
[2022-04-28 10:09:30][http-nio-8088-exec-6] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- finish --- 2022-04-28T10:09:30.374+0800, cost 0.004 s
[2022-04-28 10:13:15][http-nio-8088-exec-8] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/user/user]
[2022-04-28 10:13:15][http-nio-8088-exec-8] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- start --- 2022-04-28T10:13:15.138+0800
[2022-04-28 10:13:15][http-nio-8088-exec-8] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- finish --- 2022-04-28T10:13:15.144+0800, cost 0.006 s
[2022-04-28 10:13:28][http-nio-8088-exec-9] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/user/user]
[2022-04-28 10:13:28][http-nio-8088-exec-9] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- start --- 2022-04-28T10:13:28.652+0800
[2022-04-28 10:13:28][http-nio-8088-exec-9] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- finish --- 2022-04-28T10:13:28.658+0800, cost 0.006 s
[2022-04-28 10:13:31][http-nio-8088-exec-2] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/user/user]
[2022-04-28 10:13:31][http-nio-8088-exec-2] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- start --- 2022-04-28T10:13:31.536+0800
[2022-04-28 10:13:31][http-nio-8088-exec-2] INFO  com.wjl.lblog.annotation.TimeLogger - [getUserById()] --- finish --- 2022-04-28T10:13:31.540+0800, cost 0.004 s
[2022-04-28 10:51:50][http-nio-8088-exec-1] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/all/summary]
[2022-04-28 10:51:50][http-nio-8088-exec-1] INFO  com.wjl.lblog.annotation.TimeLogger - [getAllSummary()] --- start --- 2022-04-28T10:51:50.402+0800
[2022-04-28 10:51:50][http-nio-8088-exec-1] INFO  com.wjl.lblog.annotation.TimeLogger - [getAllSummary()] --- finish --- 2022-04-28T10:51:50.414+0800, cost 0.012 s
[2022-04-28 10:51:55][http-nio-8088-exec-7] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/category/all]
[2022-04-28 10:51:55][http-nio-8088-exec-7] INFO  com.wjl.lblog.annotation.TimeLogger - [getAll()] --- start --- 2022-04-28T10:51:55.085+0800
[2022-04-28 10:51:55][http-nio-8088-exec-7] INFO  com.wjl.lblog.annotation.TimeLogger - [getAll()] --- finish --- 2022-04-28T10:51:55.118+0800, cost 0.033 s
[2022-04-28 10:51:57][http-nio-8088-exec-4] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/tag/all]
[2022-04-28 10:51:57][http-nio-8088-exec-4] INFO  com.wjl.lblog.annotation.TimeLogger - [findAll()] --- start --- 2022-04-28T10:51:57.607+0800
[2022-04-28 10:51:57][http-nio-8088-exec-4] INFO  com.wjl.lblog.annotation.TimeLogger - [findAll()] --- finish --- 2022-04-28T10:51:57.623+0800, cost 0.016 s
[2022-04-28 10:51:59][http-nio-8088-exec-10] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/all/summary]
[2022-04-28 10:51:59][http-nio-8088-exec-10] INFO  com.wjl.lblog.annotation.TimeLogger - [getAllSummary()] --- start --- 2022-04-28T10:51:59.307+0800
[2022-04-28 10:51:59][http-nio-8088-exec-10] INFO  com.wjl.lblog.annotation.TimeLogger - [getAllSummary()] --- finish --- 2022-04-28T10:51:59.313+0800, cost 0.006 s
[2022-04-28 10:52:00][http-nio-8088-exec-6] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 10:52:00][http-nio-8088-exec-6] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T10:52:00.924+0800
